
Electrochemistry,Chemistry,12-A,101,2025-07-20,0
Optics Worksheet,Physics,12-B,202,2025-07-25,0
Ledger Balancing,Accountancy,12-F,606,2025-07-28,0
Principles of Management,Business Studies,12-E,707,2025-07-30,0
Matrices & Determinants,Math,11-A,303,2025-08-05,0
Intro to Python,Computer Science,11-C,404,2025-08-08,0
SQL Query Practice,Computer Science,12-D,404,2025-08-10,0
Basketball Drills,Physical Education,11-E,505,2025-08-12,0
Microeconomics Theory,Economics,11-F,808,2025-08-15,0
Journal Entries,Accountancy,11-E,606,2025-08-18,0
Marketing Mix,Business Studies,11-F,707,2025-08-20,0
Laws of Motion,Physics,12-A,202,2025-08-22,0
Data Structures,Computer Science,12-C,404,2025-08-24,0
The Mughal Empire,History,11-G,909,2025-08-25,0
Indian Constitution,Political Science,11-H,910,2025-08-26,0
French Revolution,History,12-G,909,2025-08-27,0
Social Stratification,Sociology,12-G,911,2025-08-28,0
Theories of Personality,Psychology,12-H,912,2025-08-29,0
